seq_orgao,cod_unidade,cod_subunidade,num_empenho,dat_empenho,num_anoexercicio,num_mesexercicio,cod_municipio,cod_veiculo,dsc_veiculo,dsc_marca,dsc_modelo,num_anofabricacao,dsc_num_placa,dsc_numchassi,num_renavam,dsc_numserie,dsc_situacaoveiculo,num_docproprietario,dsc_tipdeslocamento,dsc_tipgasto,dsc_origemgasto,dsc_pecasservicos,qtd_inicial,qtd_utilizada,qtd_final,vlr_gasto
12960,2001,10,1726,11/12/2018,2018,12,3166105,129,CHEV/SPIN 1.8 MT LTZ,CHEVROLET,CHEV/SPIN 1.8 MT LTZ,2018,QPS-3672,9BGJC752,1159519,-1,1 - COMPÕE O PATRIMÔNIO DO MUNICÍPIO (VEÍCULO PRÓPRIO),18307504000114, - ,2 - GASOLINA (LITRO),2 - COMPRA DIRETA (POSTO/COMÉRCIO),-1,406000,509755,5340000,2538580
12960,2001,10,1726,11/12/2018,2018,12,3166105,126,CHEV/SPIN 1.8 MT LTZ,CHEVROLET,CHEV/SPIN 1.8 MT LTZ,2018,QOP-3086,9BGJC752,1149134,-1,1 - COMPÕE O PATRIMÔNIO DO MUNICÍPIO (VEÍCULO PRÓPRIO),18307504000114, - ,2 - GASOLINA (LITRO),2 - COMPRA DIRETA (POSTO/COMÉRCIO),-1,22880000,367451,26562000,1794260
12960,2001,10,1663,01/11/2018,2018,11,3166105,126,CHEV/SPIN 1.8 MT LTZ,CHEVROLET,CHEV/SPIN 1.8 MT LTZ,2018,QOP-3086,9BGJC752,1149134,-1,1 - COMPÕE O PATRIMÔNIO DO MUNICÍPIO (VEÍCULO PRÓPRIO),18307504000114, - ,2 - GASOLINA (LITRO),2 - COMPRA DIRETA (POSTO/COMÉRCIO),-1,17234000,492743,22414000,2453850
12960,2001,10,1594,01/10/2018,2018,10,3166105,126,CHEV/SPIN 1.8 MT LTZ,CHEVROLET,CHEV/SPIN 1.8 MT LTZ,2018,QOP-3086,9BGJC752,1149134,-1,1 - COMPÕE O PATRIMÔNIO DO MUNICÍPIO (VEÍCULO PRÓPRIO),18307504000114, - ,2 - GASOLINA (LITRO),2 - COMPRA DIRETA (POSTO/COMÉRCIO),-1,12327000,370376,16151000,1844440
12960,2001,10,1539,14/09/2018,2018,9,3166105,126,CHEV/SPIN 1.8 MT LTZ,CHEVROLET,CHEV/SPIN 1.8 MT LTZ,2018,QOP-3086,9BGJC752,1149134,-1,1 - COMPÕE O PATRIMÔNIO DO MUNICÍPIO (VEÍCULO PRÓPRIO),18307504000114, - ,2 - GASOLINA (LITRO),2 - COMPRA DIRETA (POSTO/COMÉRCIO),-1,7410000,374535,11451000,1816450
12960,2001,10,1360,01/08/2018,2018,8,3166105,126,CHEV/SPIN 1.8 MT LTZ,CHEVROLET,CHEV/SPIN 1.8 MT LTZ,2018,QOP-3086,9BGJC752,1149134,-1,1 - COMPÕE O PATRIMÔNIO DO MUNICÍPIO (VEÍCULO PRÓPRIO),18307504000114, - ,2 - GASOLINA (LITRO),2 - COMPRA DIRETA (POSTO/COMÉRCIO),-1,4000000,305524,7011000,1442050
12960,2001,10,1273,03/07/2018,2018,7,3166105,126,CHEV/SPIN 1.8 MT LTZ,CHEVROLET,CHEV/SPIN 1.8 MT LTZ,2018,QOP-3086,9BGJC752,1149134,-1,1 - COMPÕE O PATRIMÔNIO DO MUNICÍPIO (VEÍCULO PRÓPRIO),18307504000114, - ,2 - GASOLINA (LITRO),2 - COMPRA DIRETA (POSTO/COMÉRCIO),-1,352000,352467,3708000,1663620
12960,2001,10,1663,01/11/2018,2018,11,3166105,127,CHEV/SPIN 1.8 MT LTZ,CHEVROLET,CHEV/SPIN 1.8 MT LTZ,2018,QOP-3089,9BGJC752,1149139,-1,1 - COMPÕE O PATRIMÔNIO DO MUNICÍPIO (VEÍCULO PRÓPRIO),18307504000114, - ,2 - GASOLINA (LITRO),2 - COMPRA DIRETA (POSTO/COMÉRCIO),-1,25793000,197353,27441000,982790
12960,2001,10,1594,01/10/2018,2018,10,3166105,127,CHEV/SPIN 1.8 MT LTZ,CHEVROLET,CHEV/SPIN 1.8 MT LTZ,2018,QOP-3089,9BGJC752,1149139,-1,1 - COMPÕE O PATRIMÔNIO DO MUNICÍPIO (VEÍCULO PRÓPRIO),18307504000114, - ,2 - GASOLINA (LITRO),2 - COMPRA DIRETA (POSTO/COMÉRCIO),-1,16212000,611655,22826000,3046010
12960,2001,10,1539,14/09/2018,2018,9,3166105,127,CHEV/SPIN 1.8 MT LTZ,CHEVROLET,CHEV/SPIN 1.8 MT LTZ,2018,QOP-3089,9BGJC752,1149139,-1,1 - COMPÕE O PATRIMÔNIO DO MUNICÍPIO (VEÍCULO PRÓPRIO),18307504000114, - ,2 - GASOLINA (LITRO),2 - COMPRA DIRETA (POSTO/COMÉRCIO),-1,8446000,618019,15172000,2989660
